# Server version 0.08 running on 142.157.113.15:8123
# Game ID: 182
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Tue Apr 08 11:48:33 EDT 2014
# Player 1: Player-0, 's260520039Player', running on 127.0.0.1
# Player 2: Player-1, 'random', running on 142.157.113.15
# Player 3: Player-2, 'random', running on 142.157.113.15
# Player 4: Player-3, 'random', running on 142.157.113.15
START Player-0 s260520039Player
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (12,1) (11,1)
2 (3,14) (4,15)
3 (13,14) (11,14)
3 (11,14) (13,14)
3 (13,14) (11,14)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (13,0) (11,0)
1 null null
2 (4,15) (3,14)
3 (12,14) (13,14)
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 null null
1 (14,3) (13,4)
2 (3,14) (4,15)
3 (15,12) (15,11)
0 (3,1) (3,2)
1 (11,0) (10,1)
2 (4,15) (5,14)
3 (13,13) (13,12)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (13,2) (13,3)
2 (2,15) (4,15)
2 null null
3 (13,12) (13,13)
0 (0,1) (2,3)
0 (2,3) (4,3)
0 (4,3) (6,5)
0 null null
1 (15,2) (15,4)
1 null null
2 (4,15) (3,14)
3 (13,14) (12,13)
0 (1,0) (3,2)
0 null null
1 (15,3) (15,5)
1 null null
2 (0,13) (2,11)
2 (2,11) (0,13)
2 (0,13) (2,15)
2 (2,15) (4,15)
2 null null
3 (15,11) (14,10)
0 (3,2) (3,4)
0 null null
1 (15,5) (15,6)
2 (4,15) (4,14)
3 (13,13) (12,14)
