# Server version 0.08 running on GOLDEN.gateway.2wire.net:8123
# Game ID: 80
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Mon Apr 07 13:34:14 EDT 2014
# Player 1: Player-0, 's260520039Player', running on 127.0.0.1
# Player 2: Player-1, 'random', running on GOLDEN.gateway.2wire.net
# Player 3: Player-2, 'random', running on GOLDEN.gateway.2wire.net
# Player 4: Player-3, 'random', running on GOLDEN.gateway.2wire.net
START Player-0 s260520039Player
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (12,0) (12,2)
1 (12,2) (12,0)
1 null null
2 (2,14) (4,14)
2 (4,14) (2,14)
2 null null
3 (14,13) (14,11)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (15,1) (13,3)
1 (13,3) (15,1)
1 (15,1) (13,3)
1 (13,3) (15,1)
1 null null
2 (2,13) (3,12)
3 (13,14) (13,12)
3 (13,12) (15,10)
3 (15,10) (13,12)
3 (13,12) (13,14)
3 (13,14) (11,14)
3 (11,14) (13,14)
3 (13,14) (11,14)
3 null null
0 (1,3) (2,2)
1 (13,2) (12,3)
2 (2,15) (4,13)
2 (4,13) (2,15)
2 null null
3 (12,14) (13,14)
0 (4,4) (3,5)
1 (12,3) (11,2)
2 (1,12) (0,11)
3 (11,14) (11,15)
0 (2,0) (0,0)
0 null null
1 (12,1) (11,1)
2 (3,15) (4,15)
3 (13,14) (12,14)
0 (0,1) (2,3)
0 (2,3) (4,3)
0 null null
1 (11,2) (11,3)
2 (0,11) (1,12)
3 (12,14) (12,13)
0 (2,2) (2,0)
0 (2,0) (4,2)
0 (4,2) (4,4)
0 (4,4) (2,2)
0 (2,2) (2,0)
0 (2,0) (4,0)
0 null null
1 (11,1) (10,0)
2 (2,15) (2,13)
2 (2,13) (0,11)
2 null null
3 (15,12) (15,11)
0 (4,0) (2,0)
0 (2,0) (4,2)
0 (4,2) (4,4)
0 (4,4) (2,2)
0 (2,2) (4,0)
0 null null
1 (12,0) (12,1)
2 (1,13) (2,13)
3 (13,15) (13,14)
0 (0,2) (2,2)
0 null null
1 (14,3) (13,3)
2 (1,15) (1,13)
2 (1,13) (1,15)
2 (1,15) (3,13)
2 (3,13) (1,15)
2 (1,15) (3,13)
2 null null
3 (11,15) (12,14)
0 (1,2) (3,2)
0 (3,2) (5,4)
0 null null
1 (13,3) (12,2)
2 (2,13) (2,12)
3 (15,13) (13,11)
3 (13,11) (15,13)
3 null null
0 (3,0) (1,2)
0 (1,2) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,2)
0 null null
1 (13,1) (12,0)
2 (3,13) (4,13)
3 (14,12) (14,10)
3 (14,10) (14,12)
3 (14,12) (14,10)
3 null null
0 (4,3) (2,3)
0 null null
1 (10,0) (9,1)
2 (4,13) (5,14)
3 (15,11) (15,12)
0 (0,3) (1,4)
1 (11,3) (12,3)
2 (3,12) (4,13)
3 (12,14) (11,13)
0 (1,0) (1,2)
0 null null
1 (14,2) (14,3)
2 (0,12) (1,13)
3 (13,14) (12,14)
0 (2,2) (2,4)
0 (2,4) (4,6)
0 null null
1 (12,2) (13,1)
2 (2,12) (2,13)
3 (14,10) (14,9)
0 (2,1) (4,1)
0 (4,1) (6,3)
0 null null
1 (14,0) (12,2)
1 (12,2) (12,4)
1 null null
2 (3,14) (3,13)
3 (12,13) (11,14)
0 (2,3) (0,1)
0 null null
1 (12,4) (12,2)
1 (12,2) (12,4)
1 (12,4) (12,2)
1 null null
2 (0,15) (1,15)
3 (12,14) (10,12)
3 null null
0 (5,2) (7,4)
0 null null
1 (12,3) (13,2)
2 (0,11) (0,10)
3 (13,13) (14,13)
0 (6,3) (4,5)
0 (4,5) (2,5)
0 (2,5) (0,3)
0 (0,3) (2,1)
0 (2,1) (4,1)
0 null null
1 (13,2) (14,2)
2 (4,15) (3,15)
3 (15,12) (13,10)
3 null null
0 (4,0) (2,2)
0 (2,2) (0,2)
0 null null
1 (15,0) (13,2)
1 (13,2) (11,0)
1 (11,0) (13,2)
1 (13,2) (15,0)
1 (15,0) (13,2)
1 (13,2) (15,0)
1 null null
2 (2,14) (2,15)
3 (14,13) (14,12)
0 (4,1) (2,1)
0 (2,1) (0,3)
0 null null
1 (15,2) (15,4)
1 (15,4) (13,2)
1 (13,2) (11,2)
1 (11,2) (13,2)
1 (13,2) (15,4)
1 null null
2 (3,13) (3,12)
3 (14,11) (13,12)
0 (0,0) (2,2)
0 (2,2) (4,0)
0 null null
1 (14,3) (13,2)
2 (4,13) (5,12)
3 (15,14) (14,13)
0 (0,1) (0,0)
1 (15,4) (14,3)
2 (0,14) (2,12)
2 null null
3 (14,14) (13,14)
0 (0,2) (2,2)
0 null null
1 (12,2) (12,3)
2 (2,13) (3,14)
