# Server version 0.08 running on 142.157.113.15:8123
# Game ID: 193
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Tue Apr 08 12:11:45 EDT 2014
# Player 1: Player-0, 's260520039Player', running on 127.0.0.1
# Player 2: Player-1, 'random', running on 142.157.113.15
# Player 3: Player-2, 'random', running on 142.157.113.15
# Player 4: Player-3, 'random', running on 142.157.113.15
START Player-0 s260520039Player
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (13,2) (13,3)
2 (1,15) (3,13)
2 (3,13) (1,15)
2 (1,15) (3,13)
2 (3,13) (1,15)
2 (1,15) (3,13)
2 (3,13) (1,15)
2 null null
3 (12,15) (12,13)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (14,3) (13,2)
2 (0,12) (2,12)
2 null null
3 (14,13) (13,12)
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 null null
1 (13,2) (11,0)
1 null null
2 (2,14) (3,13)
3 (15,13) (13,11)
3 null null
0 (3,1) (3,2)
1 (13,3) (12,4)
2 (3,14) (2,14)
3 (14,14) (12,12)
3 null null
0 (3,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (15,3) (15,4)
2 (2,14) (0,12)
2 null null
3 (12,13) (14,11)
3 null null
0 (0,1) (2,3)
0 (2,3) (4,3)
0 (4,3) (6,5)
0 null null
1 (14,2) (15,3)
2 (1,14) (3,12)
2 null null
3 (13,13) (11,15)
3 (11,15) (13,13)
3 null null
0 (1,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,6)
0 (5,6) (7,4)
0 null null
1 (12,4) (11,4)
2 (3,13) (4,12)
3 (14,15) (12,15)
3 (12,15) (14,15)
3 null null
0 (5,4) (7,6)
0 null null
1 (11,4) (11,3)
2 (2,15) (4,15)
2 null null
3 (13,12) (14,13)
0 (6,5) (8,7)
0 null null
1 (15,3) (14,2)
2 (4,12) (4,11)
3 (12,14) (11,14)
0 (3,0) (1,0)
0 (1,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,6)
0 null null
1 (11,3) (11,4)
2 (4,11) (5,12)
3 (13,14) (12,14)
0 (4,5) (6,7)
0 (6,7) (8,5)
0 null null
1 (13,1) (12,2)
2 (2,13) (3,14)
3 (14,12) (13,12)
0 (7,4) (9,6)
0 (9,6) (7,8)
0 null null
1 (14,0) (13,1)
2 (1,13) (1,14)
3 (12,12) (11,13)
0 (7,6) (9,8)
0 null null
1 (11,4) (11,3)
2 (3,12) (4,12)
3 (13,11) (15,11)
3 (15,11) (13,11)
3 null null
0 (8,7) (10,9)
0 null null
1 (15,2) (15,3)
2 (4,12) (3,12)
3 (11,14) (12,13)
0 (9,8) (11,10)
0 null null
1 (12,2) (12,3)
2 (3,15) (4,14)
3 (12,13) (10,13)
3 (10,13) (12,13)
3 (12,13) (10,13)
3 null null
0 (10,9) (12,11)
0 null null
1 (11,3) (12,2)
2 (1,14) (2,13)
3 (15,12) (13,14)
3 (13,14) (11,14)
3 (11,14) (13,14)
3 (13,14) (15,12)
3 (15,12) (13,14)
3 null null
0 (0,2) (2,4)
0 (2,4) (4,2)
0 null null
1 (13,0) (13,2)
1 (13,2) (15,2)
1 null null
2 (0,13) (2,11)
2 (2,11) (0,13)
2 (0,13) (2,11)
2 (2,11) (4,13)
2 (4,13) (6,11)
2 (6,11) (4,13)
2 (4,13) (2,11)
2 (2,11) (0,13)
2 (0,13) (2,11)
2 (2,11) (0,13)
2 (0,13) (0,11)
2 null null
3 (13,14) (15,12)
3 null null
0 (2,1) (0,3)
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 (4,5) (6,7)
0 (6,7) (8,9)
0 null null
1 (14,1) (13,0)
2 (0,15) (1,14)
3 (14,11) (14,12)
0 (2,0) (0,2)
0 (0,2) (2,4)
0 null null
1 (14,2) (14,3)
2 (0,12) (1,13)
3 (14,15) (13,14)
0 (1,2) (1,4)
0 (1,4) (3,4)
0 (3,4) (5,4)
0 null null
1 (11,0) (10,1)
2 (3,12) (4,12)
3 (11,13) (10,14)
0 (1,1) (2,2)
1 (14,3) (13,4)
2 (3,14) (2,14)
3 (12,14) (11,13)
0 (2,2) (3,2)
1 (13,0) (14,0)
2 (4,14) (3,15)
3 (14,12) (12,12)
3 null null
0 (3,2) (4,3)
1 (13,1) (14,1)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 null null
3 (10,13) (11,14)
0 (12,11) (12,13)
0 (12,13) (14,15)
0 null null
1 (10,1) (11,0)
2 (2,13) (3,14)
3 (14,13) (14,14)
0 (2,4) (3,5)
1 (11,0) (10,1)
2 (5,12) (5,13)
3 (15,12) (15,13)
0 (3,5) (5,3)
